departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural
AMAZONAS,2004,429.7,,,,,,,Selva
AMAZONAS,2005,372.7,,,,,,,Selva
AMAZONAS,2006,450.6,,,,,,,Selva
AMAZONAS,2007,542.3,23.7,56.55,25.6,59.0,21.8,54.1,Selva
AMAZONAS,2008,641.9,21.1,56.85,23.1,59.2,19.1,54.5,Selva
AMAZONAS,2009,718.7,22.0,55.2,24.1,57.4,19.9,53.0,Selva
AMAZONAS,2010,806.2,20.0,48.8,21.7,50.9,18.3,46.7,Selva
AMAZONAS,2011,784.1,14.75,40.1,16.6,42.8,12.9,37.4,Selva
AMAZONAS,2012,858.8,12.7,38.85,14.2,41.2,11.2,36.5,Selva
AMAZONAS,2013,826.1,13.85,50.55,15.5,53.3,12.2,47.8,Selva
AMAZONAS,2014,857.3,12.35,50.3,13.8,53.1,10.9,47.5,Selva
AMAZONAS,2015,939.1,10.55,48.2,12.3,51.7,8.8,44.7,Selva
AMAZONAS,2016,995.4,8.75,34.25,9.8,36.1,7.7,32.4,Selva
AMAZONAS,2017,967.1,8.8,35.05,10.2,36.8,7.4,33.3,Selva
AMAZONAS,2018,1033.2,6.85,34.55,7.7,36.2,6.0,32.9,Selva
AMAZONAS,2019,1014.0,2.95,30.5,3.5,32.7,2.4,28.3,Selva
AMAZONAS,2020,992.9,7.3,32.95,8.3,34.6,6.3,31.3,Selva
AMAZONAS,2021,1180.7,7.1,25.55,8.1,27.1,6.1,24.0,Selva
AMAZONAS,2022,1125.3,11.05,27.55,12.3,29.2,9.8,25.9,Selva
AMAZONAS,2023,1240.4,9.15,24.45,10.5,25.8,7.8,23.1,Selva
AMAZONAS,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Selva
AMAZONAS,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Selva
APURÍMAC,2004,401.5,,,,,,,Sierra
APURÍMAC,2005,375.1,,,,,,,Sierra
APURÍMAC,2006,440.7,,,,,,,Sierra
APURÍMAC,2007,432.2,31.4,68.15,37.1,71.1,25.7,65.2,Sierra
APURÍMAC,2008,490.1,26.7,70.45,30.1,76.9,23.3,64.0,Sierra
APURÍMAC,2009,519.2,33.4,73.85,37.0,77.7,29.8,70.0,Sierra
APURÍMAC,2010,634.0,20.0,62.5,21.7,66.8,18.3,58.2,Sierra
APURÍMAC,2011,598.2,22.7,54.95,25.6,57.7,19.8,52.2,Sierra
APURÍMAC,2012,620.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra
APURÍMAC,2013,778.2,6.6,37.6,7.5,40.1,5.7,35.1,Sierra
APURÍMAC,2014,841.6,6.1,38.45,7.0,41.2,5.2,35.7,Sierra
APURÍMAC,2015,925.6,6.45,36.4,7.3,38.5,5.6,34.3,Sierra
APURÍMAC,2016,889.4,4.8,34.25,5.7,36.1,3.9,32.4,Sierra
APURÍMAC,2017,900.8,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
APURÍMAC,2018,936.9,3.1,34.55,3.6,36.2,2.6,32.9,Sierra
APURÍMAC,2019,1123.8,6.85,30.5,7.9,32.7,5.8,28.3,Sierra
APURÍMAC,2020,1004.5,7.3,32.95,8.3,34.6,6.3,31.3,Sierra
APURÍMAC,2021,1104.8,7.1,25.55,8.1,27.1,6.1,24.0,Sierra
APURÍMAC,2022,1201.1,3.85,27.55,4.4,29.2,3.3,25.9,Sierra
APURÍMAC,2023,1284.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra
APURÍMAC,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Sierra
APURÍMAC,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Sierra
AREQUIPA,2004,653.8,,,,,,,Costa
AREQUIPA,2005,646.7,,,,,,,Costa
AREQUIPA,2006,683.1,,,,,,,Costa
AREQUIPA,2007,816.5,1.45,25.35,1.9,27.2,1.0,23.5,Costa
AREQUIPA,2008,985.7,2.6,16.85,3.2,19.5,2.0,14.2,Costa
AREQUIPA,2009,1051.0,1.2,16.9,1.7,18.6,0.7,15.2,Costa
AREQUIPA,2010,1120.4,1.05,15.7,1.4,17.2,0.7,14.2,Costa
AREQUIPA,2011,1257.8,1.05,11.8,1.4,13.5,0.7,10.1,Costa
AREQUIPA,2012,1299.7,0.85,14.05,1.3,15.6,0.4,12.5,Costa
AREQUIPA,2013,1377.3,2.05,9.0,2.6,11.0,1.5,7.0,Costa
AREQUIPA,2014,1429.0,2.2,7.75,2.8,9.7,1.6,5.8,Costa
AREQUIPA,2015,1456.9,0.4,8.25,0.6,9.8,0.2,6.7,Costa
AREQUIPA,2016,1512.2,0.25,10.8,0.4,12.0,0.1,9.6,Costa
AREQUIPA,2017,1545.0,0.7,13.35,1.0,14.6,0.4,12.1,Costa
AREQUIPA,2018,1644.6,0.5,12.55,0.7,13.8,0.3,11.3,Costa
AREQUIPA,2019,1703.1,0.5,13.3,0.7,14.6,0.3,12.0,Costa
AREQUIPA,2020,1530.3,3.05,17.3,3.7,19.5,2.4,15.1,Costa
AREQUIPA,2021,1542.9,1.85,12.8,2.4,14.6,1.3,11.0,Costa
AREQUIPA,2022,1923.9,2.55,13.85,3.2,15.7,1.9,12.0,Costa
AREQUIPA,2023,1994.9,3.0,15.65,3.7,17.6,2.3,13.7,Costa
AREQUIPA,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Costa
AREQUIPA,2025,,1.75,13.6,2.2,15.3,1.3,11.9,Costa
AYACUCHO,2004,377.9,,,,,,,Sierra
AYACUCHO,2005,366.9,,,,,,,Sierra
AYACUCHO,2006,375.3,,,,,,,Sierra
AYACUCHO,2007,475.9,31.4,68.15,37.1,71.1,25.7,65.2,Sierra
AYACUCHO,2008,517.7,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
AYACUCHO,2009,576.7,22.0,55.2,24.1,57.4,19.9,53.0,Sierra
AYACUCHO,2010,644.7,20.0,48.8,21.7,50.9,18.3,46.7,Sierra
AYACUCHO,2011,747.9,14.75,54.95,16.6,57.7,12.9,52.2,Sierra
AYACUCHO,2012,750.2,12.7,53.3,14.2,56.5,11.2,50.1,Sierra
AYACUCHO,2013,752.2,13.85,50.55,15.5,53.3,12.2,47.8,Sierra
AYACUCHO,2014,773.5,12.35,50.3,13.8,53.1,10.9,47.5,Sierra
AYACUCHO,2015,904.6,10.55,36.4,12.3,38.5,8.8,34.3,Sierra
AYACUCHO,2016,879.5,8.75,34.25,9.8,36.1,7.7,32.4,Sierra
AYACUCHO,2017,902.2,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
AYACUCHO,2018,959.8,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
AYACUCHO,2019,970.6,6.85,36.9,7.9,39.4,5.8,34.4,Sierra
AYACUCHO,2020,1095.4,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
AYACUCHO,2021,1005.6,7.1,38.8,8.1,40.9,6.1,36.7,Sierra
AYACUCHO,2022,1222.0,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
AYACUCHO,2023,1228.5,9.15,41.85,10.5,43.8,7.8,39.9,Sierra
AYACUCHO,2024,,11.3,31.9,12.8,33.8,9.8,30.0,Sierra
AYACUCHO,2025,,3.6,37.75,4.3,39.8,2.9,35.7,Sierra
CAJAMARCA,2004,410.7,,,,,,,Sierra
CAJAMARCA,2005,430.2,,,,,,,Sierra
CAJAMARCA,2006,457.3,,,,,,,Sierra
CAJAMARCA,2007,472.7,31.4,68.15,37.1,71.1,25.7,65.2,Sierra
CAJAMARCA,2008,550.1,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
CAJAMARCA,2009,649.6,33.4,55.2,37.0,57.4,29.8,53.0,Sierra
CAJAMARCA,2010,724.0,20.0,48.8,21.7,50.9,18.3,46.7,Sierra
CAJAMARCA,2011,793.4,22.7,54.95,25.6,57.7,19.8,52.2,Sierra
CAJAMARCA,2012,812.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra
CAJAMARCA,2013,835.4,22.55,50.55,27.0,53.3,18.1,47.8,Sierra
CAJAMARCA,2014,760.5,19.2,50.3,23.2,53.1,15.2,47.5,Sierra
CAJAMARCA,2015,828.2,20.25,48.2,23.9,51.7,16.6,44.7,Sierra
CAJAMARCA,2016,806.3,19.95,47.35,23.3,50.9,16.6,43.8,Sierra
CAJAMARCA,2017,843.3,17.0,47.55,20.5,52.0,13.5,43.1,Sierra
CAJAMARCA,2018,817.9,11.2,41.85,13.9,46.3,8.5,37.4,Sierra
CAJAMARCA,2019,954.4,11.15,36.9,14.0,39.4,8.3,34.4,Sierra
CAJAMARCA,2020,850.2,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
CAJAMARCA,2021,1050.0,12.15,38.8,14.3,40.9,10.0,36.7,Sierra
CAJAMARCA,2022,988.1,18.35,41.35,21.8,43.3,14.9,39.4,Sierra
CAJAMARCA,2023,1148.8,15.4,41.85,17.1,43.8,13.7,39.9,Sierra
CAJAMARCA,2024,,17.7,41.75,20.3,44.0,15.1,39.5,Sierra
CAJAMARCA,2025,,13.05,37.75,15.1,39.8,11.0,35.7,Sierra
CALLAO,2007,971.7,,,,,,,Costa
CALLAO,2008,1097.2,,,,,,,Costa
CALLAO,2009,1238.0,,,,,,,Costa
CALLAO,2010,1219.0,,,,,,,Costa
CALLAO,2011,1189.1,,,,,,,Costa
CALLAO,2012,1329.8,,,,,,,Costa
CALLAO,2013,1353.3,,13.1,,14.5,,11.7,Costa
CALLAO,2014,1494.5,0.25,12.1,0.4,13.4,0.1,10.8,Costa
CALLAO,2015,1528.5,0.4,11.2,0.6,12.6,0.2,9.8,Costa
CALLAO,2016,1561.1,0.25,10.8,0.4,12.0,0.1,9.6,Costa
CALLAO,2017,1598.5,0.7,13.35,1.0,14.6,0.4,12.1,Costa
CALLAO,2018,1526.3,0.5,12.55,0.7,13.8,0.3,11.3,Costa
CALLAO,2019,1579.6,0.5,13.3,0.7,14.6,0.3,12.0,Costa
CALLAO,2020,1355.6,3.05,32.95,3.7,34.6,2.4,31.3,Costa
CALLAO,2021,1430.8,3.55,25.55,4.2,27.1,2.9,24.0,Costa
CALLAO,2022,,3.85,27.55,4.4,29.2,3.3,25.9,Costa
CALLAO,2023,,3.0,29.65,3.7,31.4,2.3,27.9,Costa
CALLAO,2024,,5.4,31.9,6.2,33.8,4.6,30.0,Costa
CALLAO,2025,,3.6,27.2,4.3,29.0,2.9,25.4,Costa
CUSCO,2004,390.1,,,,,,,Sierra
CUSCO,2005,411.3,,,,,,,Sierra
CUSCO,2006,464.0,,,,,,,Sierra
CUSCO,2007,584.7,23.7,56.55,25.6,59.0,21.8,54.1,Sierra
CUSCO,2008,650.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
CUSCO,2009,756.5,10.8,41.6,12.7,45.9,8.9,37.3,Sierra
CUSCO,2010,775.7,10.25,48.8,11.9,50.9,8.6,46.7,Sierra
CUSCO,2011,888.4,7.15,28.5,8.2,30.6,6.1,26.4,Sierra
CUSCO,2012,973.6,5.65,26.45,6.6,28.5,4.7,24.4,Sierra
CUSCO,2013,1045.1,2.05,21.45,2.6,23.4,1.5,19.5,Sierra
CUSCO,2014,1081.2,2.2,21.2,2.8,23.2,1.6,19.2,Sierra
CUSCO,2015,1025.6,2.95,18.8,3.7,20.8,2.2,16.8,Sierra
CUSCO,2016,1144.6,1.9,22.65,2.5,24.7,1.3,20.6,Sierra
CUSCO,2017,1064.7,3.65,24.6,4.4,26.2,2.9,23.0,Sierra
CUSCO,2018,1189.0,3.1,23.1,3.6,24.6,2.6,21.6,Sierra
CUSCO,2019,1234.1,2.95,23.6,3.5,25.3,2.4,21.9,Sierra
CUSCO,2020,963.1,7.3,32.95,8.3,34.6,6.3,31.3,Sierra
CUSCO,2021,1057.0,3.55,20.9,4.2,22.8,2.9,19.0,Sierra
CUSCO,2022,1375.2,2.55,22.0,3.2,23.6,1.9,20.4,Sierra
CUSCO,2023,1416.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra
CUSCO,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Sierra
CUSCO,2025,,1.75,20.85,2.2,22.3,1.3,19.4,Sierra
HUANCAVELICA,2004,310.1,,,,,,,Sierra
HUANCAVELICA,2005,282.3,,,,,,,Sierra
HUANCAVELICA,2006,264.8,,,,,,,Sierra
HUANCAVELICA,2007,380.2,61.4,85.0,67.2,89.1,55.6,80.9,Sierra
HUANCAVELICA,2008,426.1,54.4,79.5,60.9,84.8,47.9,74.2,Sierra
HUANCAVELICA,2009,493.6,33.4,73.85,37.0,77.7,29.8,70.0,Sierra
HUANCAVELICA,2010,560.4,20.0,62.5,21.7,66.8,18.3,58.2,Sierra
HUANCAVELICA,2011,614.1,14.75,54.95,16.6,57.7,12.9,52.2,Sierra
HUANCAVELICA,2012,641.9,12.7,53.3,14.2,56.5,11.2,50.1,Sierra
HUANCAVELICA,2013,684.7,13.85,50.55,15.5,53.3,12.2,47.8,Sierra
HUANCAVELICA,2014,622.1,12.35,50.3,13.8,53.1,10.9,47.5,Sierra
HUANCAVELICA,2015,719.9,10.55,48.2,12.3,51.7,8.8,44.7,Sierra
HUANCAVELICA,2016,733.7,8.75,47.35,9.8,50.9,7.7,43.8,Sierra
HUANCAVELICA,2017,709.1,8.8,35.05,10.2,36.8,7.4,33.3,Sierra
HUANCAVELICA,2018,702.5,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
HUANCAVELICA,2019,742.1,6.85,36.9,7.9,39.4,5.8,34.4,Sierra
HUANCAVELICA,2020,669.0,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
HUANCAVELICA,2021,788.3,12.15,38.8,14.3,40.9,10.0,36.7,Sierra
HUANCAVELICA,2022,950.3,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
HUANCAVELICA,2023,1097.0,15.4,41.85,17.1,43.8,13.7,39.9,Sierra
HUANCAVELICA,2024,,11.3,31.9,12.8,33.8,9.8,30.0,Sierra
HUANCAVELICA,2025,,7.2,37.75,8.6,39.8,5.8,35.7,Sierra
HUÁNUCO,2004,326.5,,,,,,,Sierra
HUÁNUCO,2005,334.1,,,,,,,Sierra
HUÁNUCO,2006,386.1,,,,,,,Sierra
HUÁNUCO,2007,461.1,23.7,68.15,25.6,71.1,21.8,65.2,Sierra
HUÁNUCO,2008,531.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra
HUÁNUCO,2009,572.8,22.0,55.2,24.1,57.4,19.9,53.0,Sierra
HUÁNUCO,2010,623.0,20.0,48.8,21.7,50.9,18.3,46.7,Sierra
HUÁNUCO,2011,720.2,22.7,54.95,25.6,57.7,19.8,52.2,Sierra
HUÁNUCO,2012,848.4,22.0,38.85,24.9,41.2,19.1,36.5,Sierra
HUÁNUCO,2013,898.4,13.85,37.6,15.5,40.1,12.2,35.1,Sierra
HUÁNUCO,2014,877.8,12.35,38.45,13.8,41.2,10.9,35.7,Sierra
HUÁNUCO,2015,923.5,6.45,36.4,7.3,38.5,5.6,34.3,Sierra
HUÁNUCO,2016,901.5,8.75,34.25,9.8,36.1,7.7,32.4,Sierra
HUÁNUCO,2017,933.1,5.6,35.05,6.5,36.8,4.7,33.3,Sierra
HUÁNUCO,2018,974.2,6.85,34.55,7.7,36.2,6.0,32.9,Sierra
HUÁNUCO,2019,1007.1,2.95,30.5,3.5,32.7,2.4,28.3,Sierra
HUÁNUCO,2020,892.4,12.95,43.65,14.7,45.9,11.2,41.4,Sierra
HUÁNUCO,2021,967.1,7.1,38.8,8.1,40.9,6.1,36.7,Sierra
HUÁNUCO,2022,1142.7,11.05,41.35,12.3,43.3,9.8,39.4,Sierra
HUÁNUCO,2023,1399.3,9.15,41.85,10.5,43.8,7.8,39.9,Sierra
HUÁNUCO,2024,,11.3,41.75,12.8,44.0,9.8,39.5,Sierra
HUÁNUCO,2025,,7.2,37.75,8.6,39.8,5.8,35.7,Sierra
ICA,2004,767.6,,,,,,,Costa
ICA,2005,787.6,,,,,,,Costa
ICA,2006,881.4,,,,,,,Costa
ICA,2007,704.8,0.4,25.35,0.7,27.2,0.1,23.5,Costa
ICA,2008,801.7,0.25,16.85,0.5,19.5,0.0,14.2,Costa
ICA,2009,895.4,,16.9,,18.6,,15.2,Costa
ICA,2010,924.0,0.2,15.7,0.4,17.2,0.0,14.2,Costa
ICA,2011,997.0,,11.8,,13.5,,10.1,Costa
ICA,2012,1022.9,,8.35,,10.2,,6.5,Costa
ICA,2013,1082.3,,4.55,,6.0,,3.1,Costa
ICA,2014,1187.1,0.25,4.1,0.4,5.7,0.1,2.5,Costa
ICA,2015,1278.1,0.4,4.95,0.6,6.7,0.2,3.2,Costa
ICA,2016,1297.3,0.25,3.05,0.4,4.3,0.1,1.8,Costa
ICA,2017,1363.7,0.7,3.45,1.0,4.8,0.4,2.1,Costa
ICA,2018,1414.8,0.5,3.1,0.7,4.4,0.3,1.8,Costa
ICA,2019,1507.5,0.5,2.6,0.7,3.9,0.3,1.3,Costa
ICA,2020,1478.2,0.55,8.95,1.0,11.3,0.1,6.6,Costa
ICA,2021,1519.1,0.15,6.75,0.3,9.0,0.0,4.5,Costa
ICA,2022,1801.2,0.05,5.1,0.1,6.8,0.0,3.4,Costa
ICA,2023,1866.6,0.5,6.95,0.9,9.2,0.1,4.7,Costa
ICA,2024,,0.45,7.55,0.7,9.1,0.2,6.0,Costa
ICA,2025,,0.5,5.4,0.9,6.8,0.1,4.0,Costa
JUNÍN,2004,561.2,,,,,,,Sierra
JUNÍN,2005,541.2,,,,,,,Sierra
JUNÍN,2006,614.7,,,,,,,Sierra
JUNÍN,2007,679.8,11.0,43.65,12.5,46.6,9.5,40.7,Sierra
JUNÍN,2008,793.5,11.15,37.5,13.4,40.1,8.9,34.9,Sierra
JUNÍN,2009,797.5,5.4,33.5,6.7,36.3,4.1,30.7,Sierra
JUNÍN,2010,795.5,4.3,28.55,5.6,31.6,3.0,25.5,Sierra
JUNÍN,2011,912.7,7.15,28.5,8.2,30.6,6.1,26.4,Sierra
JUNÍN,2012,974.6,5.65,26.45,6.6,28.5,4.7,24.4,Sierra
JUNÍN,2013,1003.8,2.05,21.45,2.6,23.4,1.5,19.5,Sierra
JUNÍN,2014,1044.7,2.2,21.2,2.8,23.2,1.6,19.2,Sierra
JUNÍN,2015,1139.5,2.95,18.8,3.7,20.8,2.2,16.8,Sierra
JUNÍN,2016,1199.3,1.9,16.05,2.5,18.1,1.3,14.0,Sierra
JUNÍN,2017,1135.7,5.6,24.6,6.5,26.2,4.7,23.0,Sierra
JUNÍN,2018,1130.1,3.1,23.1,3.6,24.6,2.6,21.6,Sierra
JUNÍN,2019,1206.3,2.95,23.6,3.5,25.3,2.4,21.9,Sierra
JUNÍN,2020,1082.7,7.3,32.95,8.3,34.6,6.3,31.3,Sierra
JUNÍN,2021,1133.0,3.55,25.55,4.2,27.1,2.9,24.0,Sierra
JUNÍN,2022,1333.0,3.85,22.0,4.4,23.6,3.3,20.4,Sierra
JUNÍN,2023,1331.1,4.55,24.45,5.2,25.8,3.9,23.1,Sierra
JUNÍN,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Sierra
JUNÍN,2025,,1.75,13.6,2.2,15.3,1.3,11.9,Sierra
LA LIBERTAD,2004,572.6,,,,,,,Costa
LA LIBERTAD,2005,589.4,,,,,,,Costa
LA LIBERTAD,2006,596.1,,,,,,,Costa
LA LIBERTAD,2007,819.2,11.0,43.65,12.5,46.6,9.5,40.7,Costa
LA LIBERTAD,2008,762.9,11.15,37.5,13.4,40.1,8.9,34.9,Costa
LA LIBERTAD,2009,925.5,10.8,33.5,12.7,36.3,8.9,30.7,Costa
LA LIBERTAD,2010,889.8,10.25,28.55,11.9,31.6,8.6,25.5,Costa
LA LIBERTAD,2011,895.5,7.15,28.5,8.2,30.6,6.1,26.4,Costa
LA LIBERTAD,2012,1000.9,5.65,26.45,6.6,28.5,4.7,24.4,Costa
LA LIBERTAD,2013,1040.4,6.6,30.6,7.5,33.2,5.7,28.0,Costa
LA LIBERTAD,2014,1092.4,6.1,29.55,7.0,31.8,5.2,27.3,Costa
LA LIBERTAD,2015,1128.9,6.45,26.9,7.3,29.0,5.6,24.8,Costa
LA LIBERTAD,2016,1203.8,4.8,22.65,5.7,24.7,3.9,20.6,Costa
LA LIBERTAD,2017,1256.5,3.65,24.6,4.4,26.2,2.9,23.0,Costa
LA LIBERTAD,2018,1268.4,3.1,23.1,3.6,24.6,2.6,21.6,Costa
LA LIBERTAD,2019,1307.5,6.85,23.6,7.9,25.3,5.8,21.9,Costa
LA LIBERTAD,2020,1167.2,7.3,32.95,8.3,34.6,6.3,31.3,Costa
LA LIBERTAD,2021,1406.1,7.1,25.55,8.1,27.1,6.1,24.0,Costa
LA LIBERTAD,2022,1469.0,3.85,27.55,4.4,29.2,3.3,25.9,Costa
LA LIBERTAD,2023,1564.4,9.15,29.65,10.5,31.4,7.8,27.9,Costa
LA LIBERTAD,2024,,5.4,31.9,6.2,33.8,4.6,30.0,Costa
LA LIBERTAD,2025,,7.2,27.2,8.6,29.0,5.8,25.4,Costa
LAMBAYEQUE,2004,530.9,,,,,,,Costa
LAMBAYEQUE,2005,499.2,,,,,,,Costa
LAMBAYEQUE,2006,536.5,,,,,,,Costa
LAMBAYEQUE,2007,590.0,1.45,43.65,1.9,46.6,1.0,40.7,Costa
LAMBAYEQUE,2008,636.5,11.15,37.5,13.4,40.1,8.9,34.9,Costa
LAMBAYEQUE,2009,670.7,5.4,33.5,6.7,36.3,4.1,30.7,Costa
LAMBAYEQUE,2010,707.6,4.3,37.5,5.6,41.4,3.0,33.6,Costa
LAMBAYEQUE,2011,750.4,1.05,28.5,1.4,30.6,0.7,26.4,Costa
LAMBAYEQUE,2012,843.6,5.65,26.45,6.6,28.5,4.7,24.4,Costa
LAMBAYEQUE,2013,835.4,2.05,21.45,2.6,23.4,1.5,19.5,Costa
LAMBAYEQUE,2014,906.0,2.2,21.2,2.8,23.2,1.6,19.2,Costa
LAMBAYEQUE,2015,1000.0,2.95,18.8,3.7,20.8,2.2,16.8,Costa
LAMBAYEQUE,2016,1117.1,1.9,16.05,2.5,18.1,1.3,14.0,Costa
LAMBAYEQUE,2017,1113.2,0.7,13.35,1.0,14.6,0.4,12.1,Costa
LAMBAYEQUE,2018,1189.7,0.5,12.55,0.7,13.8,0.3,11.3,Costa
LAMBAYEQUE,2019,1203.6,0.5,13.3,0.7,14.6,0.3,12.0,Costa
LAMBAYEQUE,2020,1159.6,0.55,17.3,1.0,19.5,0.1,15.1,Costa
LAMBAYEQUE,2021,1233.2,0.15,12.8,0.3,14.6,0.0,11.0,Costa
LAMBAYEQUE,2022,1417.2,2.55,13.85,3.2,15.7,1.9,12.0,Costa
LAMBAYEQUE,2023,1476.7,0.5,15.65,0.9,17.6,0.1,13.7,Costa
LAMBAYEQUE,2024,,0.45,16.75,0.7,18.6,0.2,14.9,Costa
LAMBAYEQUE,2025,,0.5,13.6,0.9,15.3,0.1,11.9,Costa
LIMA,2004,982.0,,,,,,,Costa
LIMA,2005,982.2,,,,,,,Costa
LIMA,2006,1036.9,,,,,,,Costa
