departamento,anio,ingreso_laboral_soles,pobreza_extrema_pct,pobreza_total_pct,valor_max_pobreza_extrema_pct,valor_max_pobreza_total_pct,valor_min_pobreza_extrema_pct,valor_min_pobreza_total_pct,region_natural,linea_pobreza_total_soles,linea_pobreza_extrema_soles,gasto_real_soles,ingreso_real_soles,brecha_poder_adquisitivo,brecha_poder_adquisitivo_pct
AMAZONAS,2004,429.7,,,,,,,Selva,,,,,,
AMAZONAS,2005,372.7,,,,,,,Selva,,,,,,
AMAZONAS,2006,450.6,,,,,,,Selva,,,,,,
AMAZONAS,2007,542.3,23.7,56.55,25.6,59.0,21.8,54.1,Selva,,,,,,
AMAZONAS,2008,641.9,21.1,56.85,23.1,59.2,19.1,54.5,Selva,,,,,,
AMAZONAS,2009,718.7,22.0,55.2,24.1,57.4,19.9,53.0,Selva,,,,,,
AMAZONAS,2010,806.2,20.0,48.8,21.7,50.9,18.3,46.7,Selva,,,,,,
AMAZONAS,2011,784.1,14.75,40.1,16.6,42.8,12.9,37.4,Selva,,,,,,
AMAZONAS,2012,858.8,12.7,38.85,14.2,41.2,11.2,36.5,Selva,,,,,,
AMAZONAS,2013,826.1,13.85,50.55,15.5,53.3,12.2,47.8,Selva,,,,,,
AMAZONAS,2014,857.3,12.35,50.3,13.8,53.1,10.9,47.5,Selva,,,,,,
AMAZONAS,2015,939.1,10.55,48.2,12.3,51.7,8.8,44.7,Selva,265.9549,154.8931,726.1073608398438,910.799072265625,673.1451,253.10498133330123
AMAZONAS,2016,995.4,8.75,34.25,9.8,36.1,7.7,32.4,Selva,276.0883,161.7537,730.8702392578125,919.73486328125,719.3117,260.5368282538593
AMAZONAS,2017,967.1,8.8,35.05,10.2,36.8,7.4,33.3,Selva,282.9549,165.6352,737.7210693359375,925.312255859375,684.1451,241.78591711965404
AMAZONAS,2018,1033.2,6.85,34.55,7.7,36.2,6.0,32.9,Selva,287.3728,167.045,755.032470703125,940.0706787109375,745.8272000000001,259.53298294062625
AMAZONAS,2019,1014.0,2.95,30.5,3.5,32.7,2.4,28.3,Selva,295.906,172.239,759.429443359375,947.4945678710938,718.094,242.67639047535368
AMAZONAS,2020,992.9,7.3,32.95,8.3,34.6,6.3,31.3,Selva,302.947998046875,176.15371704101562,679.7675170898438,823.9931640625,689.952001953125,227.74601793089553
AMAZONAS,2021,1180.7,7.1,25.55,8.1,27.1,6.1,24.0,Selva,322.651306152344,187.489318847656,733.1981201171875,940.9542846679688,858.0486938476561,265.93684187427937
AMAZONAS,2022,1125.3,11.05,27.55,12.3,29.2,9.8,25.9,Selva,355.216339111328,210.020538330078,715.4158935546875,939.9522094726562,770.083660888672,216.79286003995463
AMAZONAS,2023,1240.4,9.15,24.45,10.5,25.8,7.8,23.1,Selva,378.482849121094,230.156036376953,712.16357421875,913.0884399414062,861.9171508789061,227.72951347212552
AMAZONAS,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Selva,384.69677734375,234.5550079345703,723.2884521484375,954.185546875,,
AMAZONAS,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Selva,,,,,,
APURÍMAC,2004,401.5,,,,,,,Sierra,,,,,,
APURÍMAC,2005,375.1,,,,,,,Sierra,,,,,,
APURÍMAC,2006,440.7,,,,,,,Sierra,,,,,,
APURÍMAC,2007,432.2,31.4,68.15,37.1,71.1,25.7,65.2,Sierra,,,,,,
APURÍMAC,2008,490.1,26.7,70.45,30.1,76.9,23.3,64.0,Sierra,,,,,,
APURÍMAC,2009,519.2,33.4,73.85,37.0,77.7,29.8,70.0,Sierra,,,,,,
APURÍMAC,2010,634.0,20.0,62.5,21.7,66.8,18.3,58.2,Sierra,,,,,,
APURÍMAC,2011,598.2,22.7,54.95,25.6,57.7,19.8,52.2,Sierra,,,,,,
APURÍMAC,2012,620.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra,,,,,,
APURÍMAC,2013,778.2,6.6,37.6,7.5,40.1,5.7,35.1,Sierra,,,,,,
APURÍMAC,2014,841.6,6.1,38.45,7.0,41.2,5.2,35.7,Sierra,,,,,,
APURÍMAC,2015,925.6,6.45,36.4,7.3,38.5,5.6,34.3,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,668.5161,260.038104292023
APURÍMAC,2016,889.4,4.8,34.25,5.7,36.1,3.9,32.4,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,621.0581999999999,231.44295819734384
APURÍMAC,2017,900.8,5.6,35.05,6.5,36.8,4.7,33.3,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,625.3961999999999,227.08335905314306
APURÍMAC,2018,936.9,3.1,34.55,3.6,36.2,2.6,32.9,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,656.4581000000001,234.0798931971293
APURÍMAC,2019,1123.8,6.85,30.5,7.9,32.7,5.8,28.3,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,835.7049,290.0795258232438
APURÍMAC,2020,1004.5,7.3,32.95,8.3,34.6,6.3,31.3,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,711.5735778808594,242.91887796705626
APURÍMAC,2021,1104.8,7.1,25.55,8.1,27.1,6.1,24.0,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,797.2523315429689,259.22886541224324
APURÍMAC,2022,1201.1,3.85,27.55,4.4,29.2,3.3,25.9,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,860.6268249511719,252.77375371135994
APURÍMAC,2023,1284.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,916.924346923828,249.79165445591588
APURÍMAC,2024,,5.4,26.2,6.2,28.0,4.6,24.4,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
APURÍMAC,2025,,3.6,20.85,4.3,22.3,2.9,19.4,Sierra,,,,,,
AREQUIPA,2004,653.8,,,,,,,Costa,,,,,,
AREQUIPA,2005,646.7,,,,,,,Costa,,,,,,
AREQUIPA,2006,683.1,,,,,,,Costa,,,,,,
AREQUIPA,2007,816.5,1.45,25.35,1.9,27.2,1.0,23.5,Costa,,,,,,
AREQUIPA,2008,985.7,2.6,16.85,3.2,19.5,2.0,14.2,Costa,,,,,,
AREQUIPA,2009,1051.0,1.2,16.9,1.7,18.6,0.7,15.2,Costa,,,,,,
AREQUIPA,2010,1120.4,1.05,15.7,1.4,17.2,0.7,14.2,Costa,,,,,,
AREQUIPA,2011,1257.8,1.05,11.8,1.4,13.5,0.7,10.1,Costa,,,,,,
AREQUIPA,2012,1299.7,0.85,14.05,1.3,15.6,0.4,12.5,Costa,,,,,,
AREQUIPA,2013,1377.3,2.05,9.0,2.6,11.0,1.5,7.0,Costa,,,,,,
AREQUIPA,2014,1429.0,2.2,7.75,2.8,9.7,1.6,5.8,Costa,,,,,,
AREQUIPA,2015,1456.9,0.4,8.25,0.6,9.8,0.2,6.7,Costa,360.1033,182.9012,1094.15185546875,1466.4613037109375,1096.7967,304.5783529337277
AREQUIPA,2016,1512.2,0.25,10.8,0.4,12.0,0.1,9.6,Costa,374.6331,190.948,1121.3331298828125,1524.888427734375,1137.5669,303.64826279365064
AREQUIPA,2017,1545.0,0.7,13.35,1.0,14.6,0.4,12.1,Costa,387.3442,198.852,1119.0567626953125,1500.919677734375,1157.6558,298.87004891256925
AREQUIPA,2018,1644.6,0.5,12.55,0.7,13.8,0.3,11.3,Costa,392.368,198.6217,1131.3475341796875,1515.8865966796875,1252.232,319.14733107694815
AREQUIPA,2019,1703.1,0.5,13.3,0.7,14.6,0.3,12.0,Costa,400.2897,202.0692,1137.6695556640625,1520.5283203125,1302.8102999999999,325.4668556298101
AREQUIPA,2020,1530.3,3.05,17.3,3.7,19.5,2.4,15.1,Costa,409.4399719238281,206.9277801513672,934.734130859375,1165.433837890625,1120.8600280761718,273.75442187767044
AREQUIPA,2021,1542.9,1.85,12.8,2.4,14.6,1.3,11.0,Costa,429.790283203125,217.630722045898,985.2156982421875,1309.1029052734375,1113.109716796875,258.98903728142307
AREQUIPA,2022,1923.9,2.55,13.85,3.2,15.7,1.9,12.0,Costa,469.526458740234,243.553665161133,984.9318237304688,1318.410400390625,1454.3735412597662,309.7532661230493
AREQUIPA,2023,1994.9,3.0,15.65,3.7,17.6,2.3,13.7,Costa,503.412719726563,270.410705566406,977.1033325195312,1308.196044921875,1491.4872802734371,296.2752472928303
AREQUIPA,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Costa,513.8414916992188,275.978271484375,983.6347045898438,1328.6793212890625,,
AREQUIPA,2025,,1.75,13.6,2.2,15.3,1.3,11.9,Costa,,,,,,
AYACUCHO,2004,377.9,,,,,,,Sierra,,,,,,
AYACUCHO,2005,366.9,,,,,,,Sierra,,,,,,
AYACUCHO,2006,375.3,,,,,,,Sierra,,,,,,
AYACUCHO,2007,475.9,31.4,68.15,37.1,71.1,25.7,65.2,Sierra,,,,,,
AYACUCHO,2008,517.7,21.1,56.85,23.1,59.2,19.1,54.5,Sierra,,,,,,
AYACUCHO,2009,576.7,22.0,55.2,24.1,57.4,19.9,53.0,Sierra,,,,,,
AYACUCHO,2010,644.7,20.0,48.8,21.7,50.9,18.3,46.7,Sierra,,,,,,
AYACUCHO,2011,747.9,14.75,54.95,16.6,57.7,12.9,52.2,Sierra,,,,,,
AYACUCHO,2012,750.2,12.7,53.3,14.2,56.5,11.2,50.1,Sierra,,,,,,
AYACUCHO,2013,752.2,13.85,50.55,15.5,53.3,12.2,47.8,Sierra,,,,,,
AYACUCHO,2014,773.5,12.35,50.3,13.8,53.1,10.9,47.5,Sierra,,,,,,
AYACUCHO,2015,904.6,10.55,36.4,12.3,38.5,8.8,34.3,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,647.5161,251.86956476076486
AYACUCHO,2016,879.5,8.75,34.25,9.8,36.1,7.7,32.4,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,611.1582000000001,227.75363361205748
AYACUCHO,2017,902.2,5.6,35.05,6.5,36.8,4.7,33.3,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,626.7962,227.59170352769277
AYACUCHO,2018,959.8,6.85,34.55,7.7,36.2,6.0,32.9,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,679.3580999999999,242.2455774261977
AYACUCHO,2019,970.6,6.85,36.9,7.9,39.4,5.8,34.4,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,682.5049,236.90264082936503
AYACUCHO,2020,1095.4,12.95,43.65,14.7,45.9,11.2,41.4,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,802.4735778808595,273.9505613988188
AYACUCHO,2021,1005.6,7.1,38.8,8.1,40.9,6.1,36.7,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,698.052331542969,226.97370298565517
AYACUCHO,2022,1222.0,11.05,41.35,12.3,43.3,9.8,39.4,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,881.526824951172,258.91226961558726
AYACUCHO,2023,1228.5,9.15,41.85,10.5,43.8,7.8,39.9,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,861.424346923828,234.67215537312512
AYACUCHO,2024,,11.3,31.9,12.8,33.8,9.8,30.0,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
AYACUCHO,2025,,3.6,37.75,4.3,39.8,2.9,35.7,Sierra,,,,,,
CAJAMARCA,2004,410.7,,,,,,,Sierra,,,,,,
CAJAMARCA,2005,430.2,,,,,,,Sierra,,,,,,
CAJAMARCA,2006,457.3,,,,,,,Sierra,,,,,,
CAJAMARCA,2007,472.7,31.4,68.15,37.1,71.1,25.7,65.2,Sierra,,,,,,
CAJAMARCA,2008,550.1,21.1,56.85,23.1,59.2,19.1,54.5,Sierra,,,,,,
CAJAMARCA,2009,649.6,33.4,55.2,37.0,57.4,29.8,53.0,Sierra,,,,,,
CAJAMARCA,2010,724.0,20.0,48.8,21.7,50.9,18.3,46.7,Sierra,,,,,,
CAJAMARCA,2011,793.4,22.7,54.95,25.6,57.7,19.8,52.2,Sierra,,,,,,
CAJAMARCA,2012,812.0,22.0,53.3,24.9,56.5,19.1,50.1,Sierra,,,,,,
CAJAMARCA,2013,835.4,22.55,50.55,27.0,53.3,18.1,47.8,Sierra,,,,,,
CAJAMARCA,2014,760.5,19.2,50.3,23.2,53.1,15.2,47.5,Sierra,,,,,,
CAJAMARCA,2015,828.2,20.25,48.2,23.9,51.7,16.6,44.7,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,571.1161,222.1516399899021
CAJAMARCA,2016,806.3,19.95,47.35,23.3,50.9,16.6,43.8,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,537.9582,200.4749912238794
CAJAMARCA,2017,843.3,17.0,47.55,20.5,52.0,13.5,43.1,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,567.8961999999999,206.20492527699327
CAJAMARCA,2018,817.9,11.2,41.85,13.9,46.3,8.5,37.4,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,537.4581000000001,191.64686161376034
CAJAMARCA,2019,954.4,11.15,36.9,14.0,39.4,8.3,34.4,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,666.3049,231.27949763810628
CAJAMARCA,2020,850.2,12.95,43.65,14.7,45.9,11.2,41.4,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,557.2735778808594,190.24353414394352
CAJAMARCA,2021,1050.0,12.15,38.8,14.3,40.9,10.0,36.7,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,742.452331542969,241.41048939432963
CAJAMARCA,2022,988.1,18.35,41.35,21.8,43.3,14.9,39.4,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,647.626824951172,190.21375908933044
CAJAMARCA,2023,1148.8,15.4,41.85,17.1,43.8,13.7,39.9,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,781.724346923828,212.96000984342376
CAJAMARCA,2024,,17.7,41.75,20.3,44.0,15.1,39.5,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
CAJAMARCA,2025,,13.05,37.75,15.1,39.8,11.0,35.7,Sierra,,,,,,
CALLAO,2007,971.7,,,,,,,Costa,,,,,,
CALLAO,2008,1097.2,,,,,,,Costa,,,,,,
CALLAO,2009,1238.0,,,,,,,Costa,,,,,,
CALLAO,2010,1219.0,,,,,,,Costa,,,,,,
CALLAO,2011,1189.1,,,,,,,Costa,,,,,,
CALLAO,2012,1329.8,,,,,,,Costa,,,,,,
CALLAO,2013,1353.3,,13.1,,14.5,,11.7,Costa,,,,,,
CALLAO,2014,1494.5,0.25,12.1,0.4,13.4,0.1,10.8,Costa,,,,,,
CALLAO,2015,1528.5,0.4,11.2,0.6,12.6,0.2,9.8,Costa,360.1033,182.9012,1094.15185546875,1466.4613037109375,1168.3967,324.46153645356765
CALLAO,2016,1561.1,0.25,10.8,0.4,12.0,0.1,9.6,Costa,374.6331,190.948,1121.3331298828125,1524.888427734375,1186.4669,316.70103362463163
CALLAO,2017,1598.5,0.7,13.35,1.0,14.6,0.4,12.1,Costa,387.3442,198.852,1119.0567626953125,1500.919677734375,1211.1558,312.6820538425514
CALLAO,2018,1526.3,0.5,12.55,0.7,13.8,0.3,11.3,Costa,392.368,198.6217,1131.3475341796875,1515.8865966796875,1133.932,288.9970639807528
CALLAO,2019,1579.6,0.5,13.3,0.7,14.6,0.3,12.0,Costa,400.2897,202.0692,1137.6695556640625,1520.5283203125,1179.3102999999999,294.61420066516826
CALLAO,2020,1355.6,3.05,32.95,3.7,34.6,2.4,31.3,Costa,409.4399719238281,206.9277801513672,934.734130859375,1165.433837890625,946.1600280761718,231.08638456339935
CALLAO,2021,1430.8,3.55,25.55,4.2,27.1,2.9,24.0,Costa,429.790283203125,217.630722045898,985.2156982421875,1309.1029052734375,1001.009716796875,232.90654905843544
CALLAO,2022,,3.85,27.55,4.4,29.2,3.3,25.9,Costa,469.526458740234,243.553665161133,984.9318237304688,1318.410400390625,,
CALLAO,2023,,3.0,29.65,3.7,31.4,2.3,27.9,Costa,503.412719726563,270.410705566406,977.1033325195312,1308.196044921875,,
CALLAO,2024,,5.4,31.9,6.2,33.8,4.6,30.0,Costa,513.8414916992188,275.978271484375,983.6347045898438,1328.6793212890625,,
CALLAO,2025,,3.6,27.2,4.3,29.0,2.9,25.4,Costa,,,,,,
CUSCO,2004,390.1,,,,,,,Sierra,,,,,,
CUSCO,2005,411.3,,,,,,,Sierra,,,,,,
CUSCO,2006,464.0,,,,,,,Sierra,,,,,,
CUSCO,2007,584.7,23.7,56.55,25.6,59.0,21.8,54.1,Sierra,,,,,,
CUSCO,2008,650.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra,,,,,,
CUSCO,2009,756.5,10.8,41.6,12.7,45.9,8.9,37.3,Sierra,,,,,,
CUSCO,2010,775.7,10.25,48.8,11.9,50.9,8.6,46.7,Sierra,,,,,,
CUSCO,2011,888.4,7.15,28.5,8.2,30.6,6.1,26.4,Sierra,,,,,,
CUSCO,2012,973.6,5.65,26.45,6.6,28.5,4.7,24.4,Sierra,,,,,,
CUSCO,2013,1045.1,2.05,21.45,2.6,23.4,1.5,19.5,Sierra,,,,,,
CUSCO,2014,1081.2,2.2,21.2,2.8,23.2,1.6,19.2,Sierra,,,,,,
CUSCO,2015,1025.6,2.95,18.8,3.7,20.8,2.2,16.8,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,768.5160999999998,298.935911583728
CUSCO,2016,1144.6,1.9,22.65,2.5,24.7,1.3,20.6,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,876.2582,326.54554750694825
CUSCO,2017,1064.7,3.65,24.6,4.4,26.2,2.9,23.0,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,789.2962,286.59597289507263
CUSCO,2018,1189.0,3.1,23.1,3.6,24.6,2.6,21.6,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,908.5581,323.9737357363504
CUSCO,2019,1234.1,2.95,23.6,3.5,25.3,2.4,21.9,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,946.0048999999999,328.36549458841887
CUSCO,2020,963.1,7.3,32.95,8.3,34.6,6.3,31.3,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,670.1735778808594,228.78563600803577
CUSCO,2021,1057.0,3.55,20.9,4.2,22.8,2.9,19.0,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,749.452331542969,243.68655932362518
CUSCO,2022,1375.2,2.55,22.0,3.2,23.6,1.9,20.4,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,1034.7268249511721,303.9084723202583
CUSCO,2023,1416.0,4.55,24.45,5.2,25.8,3.9,23.1,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,1048.9243469238281,285.75154416633717
CUSCO,2024,,2.95,16.75,3.6,18.6,2.3,14.9,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
CUSCO,2025,,1.75,20.85,2.2,22.3,1.3,19.4,Sierra,,,,,,
HUANCAVELICA,2004,310.1,,,,,,,Sierra,,,,,,
HUANCAVELICA,2005,282.3,,,,,,,Sierra,,,,,,
HUANCAVELICA,2006,264.8,,,,,,,Sierra,,,,,,
HUANCAVELICA,2007,380.2,61.4,85.0,67.2,89.1,55.6,80.9,Sierra,,,,,,
HUANCAVELICA,2008,426.1,54.4,79.5,60.9,84.8,47.9,74.2,Sierra,,,,,,
HUANCAVELICA,2009,493.6,33.4,73.85,37.0,77.7,29.8,70.0,Sierra,,,,,,
HUANCAVELICA,2010,560.4,20.0,62.5,21.7,66.8,18.3,58.2,Sierra,,,,,,
HUANCAVELICA,2011,614.1,14.75,54.95,16.6,57.7,12.9,52.2,Sierra,,,,,,
HUANCAVELICA,2012,641.9,12.7,53.3,14.2,56.5,11.2,50.1,Sierra,,,,,,
HUANCAVELICA,2013,684.7,13.85,50.55,15.5,53.3,12.2,47.8,Sierra,,,,,,
HUANCAVELICA,2014,622.1,12.35,50.3,13.8,53.1,10.9,47.5,Sierra,,,,,,
HUANCAVELICA,2015,719.9,10.55,48.2,12.3,51.7,8.8,44.7,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,462.81609999999995,180.0253146929854
HUANCAVELICA,2016,733.7,8.75,47.35,9.8,50.9,7.7,43.8,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,465.35820000000007,173.41994426511266
HUANCAVELICA,2017,709.1,8.8,35.05,10.2,36.8,7.4,33.3,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,433.69620000000003,157.47647635944023
HUANCAVELICA,2018,702.5,6.85,34.55,7.7,36.2,6.0,32.9,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,422.0581,150.4975183808126
HUANCAVELICA,2019,742.1,6.85,36.9,7.9,39.4,5.8,34.4,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,454.0049,157.58855322426518
HUANCAVELICA,2020,669.0,12.95,43.65,14.7,45.9,11.2,41.4,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,376.0735778808594,128.38499687402754
HUANCAVELICA,2021,788.3,12.15,38.8,14.3,40.9,10.0,36.7,Sierra,307.547668457031,176.623977661133,750.598388671875,996.2841186523438,480.75233154296893,156.317989323381
HUANCAVELICA,2022,950.3,11.05,41.35,12.3,43.3,9.8,39.4,Sierra,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625,609.826824951172,179.1115628606322
HUANCAVELICA,2023,1097.0,15.4,41.85,17.1,43.8,13.7,39.9,Sierra,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875,729.924346923828,198.84847736615242
HUANCAVELICA,2024,,11.3,31.9,12.8,33.8,9.8,30.0,Sierra,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625,,
HUANCAVELICA,2025,,7.2,37.75,8.6,39.8,5.8,35.7,Sierra,,,,,,
HUÁNUCO,2004,326.5,,,,,,,Sierra,,,,,,
HUÁNUCO,2005,334.1,,,,,,,Sierra,,,,,,
HUÁNUCO,2006,386.1,,,,,,,Sierra,,,,,,
HUÁNUCO,2007,461.1,23.7,68.15,25.6,71.1,21.8,65.2,Sierra,,,,,,
HUÁNUCO,2008,531.6,21.1,56.85,23.1,59.2,19.1,54.5,Sierra,,,,,,
HUÁNUCO,2009,572.8,22.0,55.2,24.1,57.4,19.9,53.0,Sierra,,,,,,
HUÁNUCO,2010,623.0,20.0,48.8,21.7,50.9,18.3,46.7,Sierra,,,,,,
HUÁNUCO,2011,720.2,22.7,54.95,25.6,57.7,19.8,52.2,Sierra,,,,,,
HUÁNUCO,2012,848.4,22.0,38.85,24.9,41.2,19.1,36.5,Sierra,,,,,,
HUÁNUCO,2013,898.4,13.85,37.6,15.5,40.1,12.2,35.1,Sierra,,,,,,
HUÁNUCO,2014,877.8,12.35,38.45,13.8,41.2,10.9,35.7,Sierra,,,,,,
HUÁNUCO,2015,923.5,6.45,36.4,7.3,38.5,5.6,34.3,Sierra,257.0839,149.7291,769.1438598632812,977.572021484375,666.4160999999999,259.2212503388971
HUÁNUCO,2016,901.5,8.75,34.25,9.8,36.1,7.7,32.4,Sierra,268.3418,157.2042,777.4718017578125,991.4824829101562,633.1582000000001,235.95213269047167
HUÁNUCO,2017,933.1,5.6,35.05,6.5,36.8,4.7,33.3,Sierra,275.4038,161.215,769.5205078125,966.2655639648438,657.6962000000001,238.81159228739767
HUÁNUCO,2018,974.2,6.85,34.55,7.7,36.2,6.0,32.9,Sierra,280.4419,162.4586,789.9581909179688,1019.4859008789062,693.7581,247.38033082788274
HUÁNUCO,2019,1007.1,2.95,30.5,3.5,32.7,2.4,28.3,Sierra,288.0951,166.972,809.4700927734375,1058.060302734375,719.0049,249.5720683899171
HUÁNUCO,2020,892.4,12.95,43.65,14.7,45.9,11.2,41.4,Sierra,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375,599.4735778808594,204.64988222777603
